,,,,,,,,,,,,
,,,, ,Glossary,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
, ,Ref,,,Performances,Lex 6,Lex 5,Lex 4,Lex 3,Lex 2,Lex 1,
,,Deu 4:30,,,באחרית הימים,,,,,יוֹם,אחֲרִית,129
,,Deu 4:31,,,ברית אבתיך ,,,,,אָב,בְּרִית ,130
,,Deu 4:32,,,ולמקצה השמים,,,,,שָמַיִם,קָצֶה,131
,,Deu 4:32,,,קצה השמים ,,,,,שָמַיִם,קָצֶה ,132
,,Deu 4:33,,,קול אלהים,,,,,אֱלֹהִים,קוֹל,133
,,Deu 4:41,,,בְּעֵ֖בֶר הַיַּרְדֵּ֑ן,,,,,יַרְדֵּן,עֵבֶר,134
,,Deu 4:43,,,בְּאֶ֥רֶץ הַמִּישֹׁ֖ר,,,,,מִישוֹר,אֶרֶץ,135
,,Deu 4:44,,,בני ישראל,,,,,יִשְרָאָל,בֵּן,136
,,Deu 4:45,,,בְּנֵ֣י יִשְׂרָאֵ֔ל,,,,,יִשְרָאֵל,בֵּן,137
,,Deu 4:46,,,בעבר הירדן ,,,,,יַרְדֵּן,עֵבֶר,138
,,Deu 4:46,,,בארץ סיחן,,,,,סִיחוֹן,אֶרֶץ,139
,,Deu 4:46,,,מלך האמרי,,,,,אֱמֹרִי,מֶלֶךְ,140
,,Deu 4:46,,,ובני ישראל,,,,,יִשְרָאֵל,בֵּן,141
,,Deu 4:47,,,ארץ עוג,,,,,עוִֹג,אֶרֶץ,142
,,Deu 4:47,,,מלך הבשן,,,,,בָּשָן,מֶלֶךְ,143
,,Deu 4:47,,,שני מלכי האמרי,,,,,אֱמֹרִי,מֶלֶךְ ,144
,,Deu 4:47,,,בעבר הירדן ,,,,,יַרְדֵּן,עֵבֶר ,145
,,Deu 4:47,,,מזרח שמש,,,,,שֶמֶש,מִזְרָח,146
,,Deu 4:48,,,שפת נחל ארנון,,,,אַרְנוֹן,נַחַל,שָפָה,147
,,Deu 4:48,,,הר שיאן,,,,,שִיאֹן,הַר,148
,,Deu 4:49,,,עבר הירדן,,,,,יַרְדֵּן,עֵבֶר ,147
,,Deu 4:49,,,ים הערבה,,,,,עֲרָבָה,יָם ,148
,,Deu 4:49  ,,,אשדת הפסגה,,,,,פִּסְגָּה,אֲשֵדָה,149
,,Deu 5:5  ,,,דבר יהוה,,,,,יְהֹוָה,דָּבָר,150
,,Deu 5:6,,,מארץ מצרים,,,,,מִצְרַיִם,אֶרֶץ,151
,,Deu 5:6,,,מבית עבדים,,,,,עֲבָדִים,בָּיִת ,152
,,Deu 5:8,,,פֶ֣֨סֶל֙ ׀ כָּל־תְּמוּנָ֔֡ה,,,,,תְּמוּנָה,פֶּסֶל,153
,,Deu 5:9,,,עון אבות,,,,,אָב,עָוֹן,154
,,Deu 5:10,,,וּלְשֹׁמְרֵ֥י מִצְוֹתֹו,,,,,מִצְוָה,שֹמֵר,155
,,Deu 5:11,,,שֵֽׁם־יְהוָ֥ה אֱלֹהֶ֖יךָ,,,,,יְהֹוָה,שֵם,156
,,Deu 5:12,,,יום השבת ,,,,,שַבָּת,יוֹם ,157
,,Deu 5:14,,,וְיֹ֨ום֙ הַשְּׁבִיעִ֜֔י,,,,,שְבִיעִי,יוֹם ,158
,,Deu 5:15,,,בארץ מצרים,,,,,מִצְרַיִם,אֶרֶץ ,159
,,Deu 5:15,,,יום השבת ,,,,,שַבָּת,יוֹם ,160
,,Deu 5:20,,, עֵ֥ד שָֽׁוְא ,,,,,שָוְא,עֵד,161
,,Deu 5:21,,,אשת רעך,,,,,רֵעַ,אִשָּה,162
,,Deu 5:21,,,בית רעך,,,,,רֵעַ,בַּיִת ,163
,,Deu 5:22,,,לחת אבנים,,,,,אֶבֶן,לוּחַ ,164
,,Deu 5:23,,,כל ראשי שבטיכם,,,,,שֶבֶט,רֹאש,165
,,Deu 5:25,,,קֹ֨ול יְהוָ֧ה אֱלֹהֵ֛ינוּ,,,,,יְהֹוָה,קוֹל,166
,,Deu 5:26,,,קול אלהים,,,,,אֱלֹהִים,קוֹל,167
,,Deu 5:28,,,קול דבריכם,,,,,דָּבָר,קוֹל,168
,,Deu 5:28,,,קול דברי העם,,,,עַם,דָּבָר,קוֹל,169
,,Deu 6:2 ,,,ובן בנך,,,,,בֵּן ,בֵּן,170
,,Deu 6:2 ,,,כל ימי חייך,,,,,חַיִּים,יוֹם ,171
,,Deu 6:3,,,אלהי אבתיך,,,,,אָב,אֱלֹהִים,172
,,Deu 6:3,,,זבת חלב ודבש,,,,דְּבָש,חָלָב  ,זָב ,173
,,Deu 6:9,,,מזוזת ביתך,,,,,בַּיִת,מְזוּזָה,174
,,Deu 6:12,,,מארץ מצרים,,,,,מִצְרַיִם,אֶרֶץ,175
,,Deu 6:12,,,מבית עבדים,,,,,עֶבֶד ,בַּיִת ,176
,,Deu 6:14,,,מֵאֱלֹהֵי֙ הָֽעַמִּ֔ים,,,,,עַם,אֱלֹהִים,177
,,Deu 6:15,,,אף יהוה ,,,,,יְהֹוָה,אַף,178
,,Deu 6:17,,,מצות יהוה אלהיכם,,,,,יְהֹוָה,מִצְוָה,179
,,Deu 6:18,,,בעיני יהוה,,,,,יְהֹוָה,עַיִן,180
,,Deu 7:4  ,,,אף יהוה ,,,,,יְהֹוָה,אַף,181
,,Deu 7:6,,,לעם סגלה,,,,,סְגֻּלָה,עַם,182
,,Deu 7:8,,,מאהבת יהוה,,,,,יְהֹוָה,אַהֲבָה,183
,,Deu 7:8,,,מבית עבדים,,,,,עֶבֶד,בַּיִת ,184
,,Deu 7:8,,,מיד פרעה,,,,,פָּרְעה,יָד,185
,,Deu 7:8,,,מלך מצרים,,,,,מִצְרַיִם,מֶלֶךְ,186
,,Deu 7:9,,,וּלְשֹׁמְרֵ֥י מִצְוֹתֹו,,,,,מִצְוָה,שֹמֵר,187
,,Deu 7:13,,,פרי בטנך ,,,,,בֶּטֶן,פְּרִי,188
,,Deu 7:13,,,ופרי אדמתך,,,,,אֲדָמָה,פְּרִי,189
,,Deu 7:13,,,שגר אלפיך,,,,,אֶלֶף,שֶגֶר,190
,,Deu 7:13,,,ועשתרת צאנך,,,,,צֹאן,עַשְתֶּרֶת,191
,,Deu 7:15,,,וְכָל־מַדְוֵי֩ מִצְרַ֨יִם,,,,,מִצְרַיִם,מַדְוֶה,192
,,Deu 7:22,,,חית השדה,,,, ,שָדֶה,חָיָה,193
,,Deu 7:25,,,פסילי אלהיהם,,,,,אֱלֹהִים,פָּסִיל,194
,,Deu 7:25,,,תועבת יהוה אלהיך,,,,,יְהֹוָה,תּוֹעֵבָה,195
,,Deu 8:3 ,,,כל מוצא פי יהוה,,,,יְהֹוָה,פֶּה,מוֹצָא,196
,,Deu 8:6,,,מצות יהוה אלהיך,,,, ,יְהֹוָה,מִצְוָה ,197
,,Deu 8:7,,,ארץ נחלי מים,,,,מַיִם,נַחַל,אֶרֶץ,198
,,Deu 8:8,,,אֶ֤רֶץ חִטָּה֙ וּשְׂעֹרָ֔ה וְגֶ֥פֶן וּתְאֵנָ֖ה וְרִמֹּ֑ון,רִמּוֹן,תְּאֵנָה,גֶּפֶן,שְעָרָה,חִטָּה,אֶרֶץ,199
,,Deu 8:8,,,ארץ זית שמן ודבש,,,דְּבָש,שֶמֶן,זַיִת,אֶרֶץ,200
,,Deu 8:14,,,מארץ מצרים ,,,,,מִצְרַיִם,אֶרֶץ,201
,,Deu 8:14,,,מבית עבדים,,,,,עֶבֶד,בַּיִת ,202
,,Deu 8:17,,,ועצם ידי,,,,,יָד ,עֹצֶם,203
,,Deu 8:20,,,בקול יהוה אלהיכם,,,,,יְהֹוָה,קוֹל,204
,,Deu 9:2,,,בני ענקים,,,,,עֲנָק,בֵּן,205
,,Deu 9:2,,,בני ענק,,,,,עֲנָק,בֵּן,206
,,Deu 9:4,,,וברשעת הגוים,,,,,גוֹי,רִשְעָה,207
,,Deu 9:5,,,ובישר לבבך,,,,,לֵבָב ,יָשָר,208
,,Deu 9:5,,,ברשעת הגוים,,,,,גוֹי,רִשְעָה ,209
