edge_name,weight
תיִרֲחַא (-) םֹוי,1
ןֶזֹא (-) לָהָק,1
ןֶזֹא (-) לֵאָרְשִי,1
רָבָּד (-) הָריִש,3
רֶמֵא (-) הֶּפ,11
לֵא (-) הָנּומֱא,1
םֹוי (-) םָלֹוע,1
הָנָש (-) רֹוד,2
ןֵּב (-) םָדָא,28
לּובְּג (-) םַע,1
רָּפְסִמ (-) ןֵּב,1
רָּפְסִמ (-) לֵאָרְשִי,1
קֶלֵח (-) הָוֹהְי,1
לֶבֶח (-) הָלֲחַנ,2
ןֹושיִא (-) ןִיַע,3
לֵא (-) רָכֵנ,2
הָמָּב (-) ץֶרֶא,1
הָבּונְּת (-) הֶדָש,1
שיִמָּלַח (-) רּוצ,1
הָאְמֶח (-) רָקָּב,1
בָלָח (-) ןאֹצ,1
בָלָח (-) רַּכ,1
ןֵּב (-) ןָשָּב,1
בָלָח (-) הָיְלִּכ,1
בָלָח (-) הָּטִח,1
םָּד (-) בָנֵע,1
רּוצ (-) הָעּושְי,2
סַעַּכ (-) ןֵּב,1
סַעַּכ (-) תַּב,1
רֹוּד (-) הָכּוּפֲהַּת,1
דָסֹומ (-) רַה,1
הֶזָמ (-) בַָעַָר,1
םֶחֶל (-) ףֶשֶר,1
ןֵש (-) הָמֵהְּב,1
הָמֵח (-) לַחַז,1
הָמֵח (-) רָפָע,1
שיִא (-) הָביֵש,1
סַעַּכ (-) בֵיֹא,1
דֵבֹא (-) הָצֵע,1
ןֶפֶּג (-) םֹדְס,1
הָמֵדְש (-) הָרֹמֲע,1
בָנֵע (-) שאֹר,1
לֹוּכְשֶא (-) הָרֹרְמ,1
הָמֵח (-) ןיִנַּת,1
שאֹר (-) ןֶתֶּפ,1
םֹוי (-) דיֵא,2
בָלָח (-) חַבֶז,1
ןִיַי (-) ְךיִסָנ,1
קָרָּב (-) בֶרֶח,1
םָּד (-) לָלָח,1
שאֹר (-) עַרֶּפ,1
שאֹר (-) בֵיֹא,2
םָּד (-) דֶבֶע,1
ןֶזֹא (-) םַע,1
רַה (-) םיִרָבֲע,1
רַה (-) ֹובְנ,2
ץֶרֶא (-) ןָעָנְּכ,1
םִיַמ (-) הָביִרְמ,3
םִיַמ (-) שֵדָק,1
רָּבְדִמ (-) ןִצ,1
שיִא (-) םיִהֹלֱא,1
רַה (-) ןָראָפ,1
הָבָבְר (-) שֶדֹק,1
הָּלִהְק (-) בֹקֲעַי,1
לֹוק (-) הָדּוהְי,1
לַעֹּפ (-) דָי,1
דיִדָי (-) הָוֹהְי,1
ְךָרֹבְמ (-) הָוֹהְי,1
דֶגֶמ (-) םִיַמָש,1
דֶגֶמ (-) הָאּובְּת,1
דֶגֶמ (-) שֶמֶש,1
דֶגֶמ (-) שֶרֶּג,1
דֶגֶמ (-) חַרֶי,1
